Team,SOS
Cleveland Cavaliers,-0.38
Boston Celtics,-2.86
New York Knicks,-0.38
Indiana Pacers,-0.51
Milwaukee Bucks,-0.66
Detroit Pistons,1.84
Atlanta Hawks,-1.36
Orlando Magic,-1.42
Miami Heat,-2.08
Chicago Bulls,-0.36
Toronto Raptors,-3.92
Philadelphia 76ers,-1.85
Brooklyn Nets,-0.96
Charlotte Hornets,0.58
Washington Wizards,-1.6
