Team,SOS
Oklahoma City Thunder,-4.38
Houston Rockets,3.19
Los Angeles Lakers,3.8
Los Angeles Clippers,1.75
Golden State Warriors,-0.71
Minnesota Timberwolves,-2.22
Memphis Grizzlies,-0.11
Denver Nuggets,3.6
Sacramento Kings,1.96
Dallas Mavericks,0.5
Phoenix Suns,3.45
Portland Trail Blazers,-1.35
San Antonio Spurs,0.28
New Orleans Pelicans,1.86
Utah Jazz,4.93
